repo,instance_id,version,n_files_touched,patch_size,n_test_files_touched,test_patch_size,num_FAIL_TO_PASS,problem_length_words,predicted_GH_labels,dominant_topic,hdbscan_topic,hdbscan_topic_all,ExpeRepair_Claude4,Refact_ai_Agent,KGCompass_Claude4,SWE-agent_Claude4,SWE-agent_Claude3_7,KGCompass_DeepSeek_V3,Moatless_Tools_Deepseek_V3,SWE-Fixer_Qwen25-7b,SWE-agent_GPT_4o,SWE-agent_Claude3Opus
astropy/astropy,astropy__astropy-12907,4.3,1,2,1,19,2,158,bug,8,0,0,1,1,1,1,1,1,0,0,0,1
astropy/astropy,astropy__astropy-14182,5.1,1,41,1,28,1,189,enhancement,6,-1,3,0,0,0,0,0,0,0,0,0,0
astropy/astropy,astropy__astropy-14365,5.1,1,4,1,15,1,202,bug,12,-1,2,0,0,0,0,0,0,0,0,0,0
astropy/astropy,astropy__astropy-14995,5.2,1,4,1,39,1,357,bug,6,3,2,1,1,1,1,1,1,1,1,1,1
astropy/astropy,astropy__astropy-6938,1.3,1,2,2,17,2,76,bug,4,-1,4,1,1,1,1,0,1,0,1,0,0
astropy/astropy,astropy__astropy-7746,1.3,1,5,1,18,1,192,bug,14,3,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django-10914,3.0,1,2,1,2,1,151,enhancement,6,0,2,1,1,1,1,1,1,1,1,0,1
django/django,django__django-10924,3.0,1,2,1,22,1,112,enhancement,13,0,2,1,1,1,1,1,1,0,0,0,0
django/django,django__django-11001,3.0,1,3,1,23,2,316,bug,6,0,1,1,1,1,1,0,0,0,0,0,0
django/django,django__django-11019,3.0,1,76,3,127,16,183,bug,6,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-11039,3.0,1,5,1,39,1,118,bug,6,0,2,1,1,1,1,1,1,1,1,1,0
django/django,django__django-11049,3.0,1,2,1,2,1,104,bug,1,0,0,1,1,0,1,1,0,1,1,1,0
django/django,django__django-11099,3.0,1,4,1,4,3,121,enhancement,12,0,0,1,1,1,1,1,1,1,1,1,1
django/django,django__django-11133,3.0,1,2,1,4,1,110,question,0,0,2,1,1,1,1,1,1,1,1,1,1
django/django,django__django-11179,3.0,1,1,1,9,1,42,bug,6,0,2,1,1,1,1,1,0,1,1,0,0
django/django,django__django-11283,3.0,1,30,1,25,1,168,bug,12,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-11422,3.0,1,10,1,4,1,93,bug,6,0,2,1,1,1,0,0,1,0,0,0,0
django/django,django__django-11564,3.1,1,31,2,51,2,136,enhancement,6,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-11583,3.0,1,4,1,11,2,402,bug,7,0,1,1,1,1,1,1,1,0,1,0,0
django/django,django__django-11620,3.0,1,6,1,7,1,152,enhancement,6,0,2,0,1,1,1,1,0,0,0,0,0
django/django,django__django-11630,3.0,1,20,1,60,2,111,bug,0,0,-1,0,0,0,0,0,0,0,0,0,0
django/django,django__django-11742,3.0,1,17,1,26,2,56,enhancement,0,0,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django-11797,3.1,1,6,1,13,1,89,bug,0,0,2,0,1,1,0,0,1,0,0,0,0
django/django,django__django-11815,3.1,1,7,1,46,2,244,bug,0,0,2,1,1,1,1,1,1,0,0,0,0
django/django,django__django-11848,3.1,1,10,1,25,2,102,bug,6,0,2,1,1,1,0,0,1,1,0,0,0
django/django,django__django-11905,3.1,1,13,2,36,2,59,bug,4,0,2,0,0,1,0,0,0,0,0,0,0
django/django,django__django-11910,3.1,1,4,1,24,1,113,bug,0,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-11964,3.1,1,8,1,6,2,238,bug,12,0,2,1,1,0,0,0,0,0,0,0,0
django/django,django__django-11999,3.1,1,8,1,10,1,66,bug,2,0,2,1,1,1,1,1,1,0,1,0,0
django/django,django__django-12113,3.1,1,2,1,18,1,442,bug,12,0,1,1,0,1,1,0,0,0,0,0,0
django/django,django__django-12125,3.1,1,2,1,25,2,181,bug,13,0,2,1,1,1,1,1,1,0,0,0,0
django/django,django__django-12184,3.1,1,3,2,15,1,96,question,0,0,4,1,1,1,1,1,0,0,0,0,0
django/django,django__django-12284,3.1,1,6,1,13,1,109,bug,0,0,2,1,1,1,1,1,1,1,0,0,0
django/django,django__django-12286,3.1,1,9,1,34,1,113,bug,2,0,2,1,1,1,1,1,1,1,1,0,1
django/django,django__django-12308,3.1,1,5,1,17,2,69,bug,7,0,2,0,0,1,1,0,0,0,0,0,0
django/django,django__django-12453,3.1,1,13,2,29,1,336,bug,0,0,4,1,1,0,1,1,0,1,1,1,1
django/django,django__django-12470,3.1,1,6,2,17,1,70,bug,0,0,0,0,0,1,1,0,0,0,0,0,0
django/django,django__django-12497,3.1,1,4,1,33,2,112,bug,0,0,2,0,1,1,1,1,0,0,0,1,0
django/django,django__django-12589,3.1,1,15,2,17,1,265,bug,0,0,4,0,1,1,1,0,0,0,0,0,0
django/django,django__django-12700,3.1,1,4,1,35,1,181,bug,2,0,2,1,1,1,1,1,0,1,0,1,0
django/django,django__django-12708,3.1,1,7,2,37,1,156,bug,6,0,4,1,0,1,1,1,0,1,0,1,0
django/django,django__django-12747,3.1,1,6,1,7,3,150,bug,9,0,2,0,1,1,0,0,0,0,0,0,0
django/django,django__django-12856,3.2,1,6,1,67,3,64,bug,13,0,2,1,1,0,1,1,0,0,0,0,0
django/django,django__django-12908,3.2,1,1,1,1,2,98,bug,2,0,2,1,1,1,1,0,0,0,1,0,0
django/django,django__django-12915,3.2,1,8,3,71,3,89,enhancement,14,0,3,1,1,1,1,1,0,0,0,0,0
django/django,django__django-12983,3.2,1,11,1,7,1,44,bug,7,0,2,1,1,1,1,1,1,1,1,1,0
django/django,django__django-13028,3.2,1,5,2,13,2,239,bug,0,0,4,1,1,1,1,1,1,1,1,0,0
django/django,django__django-13033,3.2,1,7,2,17,1,437,bug,0,0,4,1,1,1,1,1,0,0,0,0,0
django/django,django__django-13158,3.2,1,3,1,7,1,131,bug,0,0,2,1,1,1,1,1,0,0,0,0,0
django/django,django__django-13220,3.2,1,20,1,269,4,85,enhancement,12,0,3,0,0,0,0,0,0,0,0,0,0
django/django,django__django-13230,3.2,1,1,2,15,1,46,enhancement,6,-1,0,1,1,0,0,1,1,1,1,0,1
django/django,django__django-13265,3.2,1,27,1,109,4,142,bug,0,0,3,0,0,0,0,0,0,0,0,0,0
django/django,django__django-13315,3.2,1,12,2,76,1,47,bug,0,0,2,1,1,0,1,0,0,0,0,0,0
django/django,django__django-13321,3.2,1,9,1,15,355,362,bug,12,0,1,0,0,0,0,0,0,0,0,0,0
django/django,django__django-13401,3.2,1,26,1,30,1,189,enhancement,6,0,3,1,1,0,0,1,1,1,1,0,0
django/django,django__django-13447,4.0,1,1,1,5,1,66,enhancement,6,0,0,1,1,1,1,1,1,1,1,1,1
django/django,django__django-13448,3.2,1,12,5,62,1,416,question,12,0,4,0,1,1,0,0,1,0,0,0,0
django/django,django__django-13551,3.2,1,10,4,37,2,88,bug,7,0,-1,1,0,1,1,0,1,0,1,0,0
django/django,django__django-13590,3.2,1,6,1,10,1,132,bug,4,0,0,1,1,1,1,1,1,1,1,0,0
django/django,django__django-13658,3.2,1,7,1,17,1,153,enhancement,9,4,2,1,1,1,1,1,1,1,1,1,0
django/django,django__django-13660,3.2,1,4,1,41,2,254,bug,7,0,2,1,1,0,0,0,0,0,0,0,0
django/django,django__django-13710,4.0,1,7,1,49,1,147,enhancement,0,0,2,1,1,1,1,1,1,0,1,1,1
django/django,django__django-13757,3.2,1,19,1,4,1,114,bug,12,0,0,1,1,1,1,0,0,1,1,0,0
django/django,django__django-13768,3.2,1,9,1,29,1,96,enhancement,6,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-13925,4.0,1,5,1,63,2,468,bug,1,0,1,1,1,0,0,0,0,0,0,0,0
django/django,django__django-13933,4.0,1,6,1,13,1,158,bug,2,0,2,1,1,1,1,1,1,1,1,1,1
django/django,django__django-13964,4.0,1,2,2,24,1,243,bug,0,0,4,1,1,1,1,1,1,0,0,0,0
django/django,django__django-14016,4.0,1,7,1,8,2,99,bug,6,0,2,1,1,1,1,1,0,0,1,0,0
django/django,django__django-14017,4.0,1,2,1,22,2,136,bug,6,0,2,1,1,0,1,1,0,0,0,0,0
django/django,django__django-14155,4.0,1,13,1,24,3,76,enhancement,7,-1,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django-14238,4.0,1,2,2,27,2,207,bug,0,0,0,1,1,0,1,1,0,1,0,1,0
django/django,django__django-14382,4.0,1,4,1,7,1,79,bug,7,0,2,1,1,1,1,1,1,1,1,1,1
django/django,django__django-14411,4.0,1,3,1,13,1,57,bug,13,0,0,1,1,1,1,1,1,0,1,0,0
django/django,django__django-14534,4.0,1,2,1,18,2,194,bug,5,0,2,0,0,1,1,0,0,0,0,0,0
django/django,django__django-14580,4.0,1,2,1,7,1,183,bug,0,0,2,1,1,1,1,0,1,0,0,0,0
django/django,django__django-14608,4.0,1,7,2,19,4,100,enhancement,11,0,4,1,1,1,1,1,1,0,0,0,0
django/django,django__django-14667,4.0,1,7,1,8,1,119,bug,13,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-14672,4.0,1,2,3,47,168,520,bug,9,0,3,1,0,1,1,1,1,1,1,0,0
django/django,django__django-14730,4.0,1,10,3,22,1,76,enhancement,7,0,4,0,0,0,0,0,0,0,0,0,0
django/django,django__django-14752,4.0,1,12,1,24,1,295,enhancement,0,0,1,1,1,1,1,1,1,1,1,0,1
django/django,django__django-14787,4.1,1,2,1,23,1,90,bug,14,-1,0,1,1,1,1,1,0,1,0,0,0
django/django,django__django-14855,4.0,1,6,2,16,1,146,bug,6,0,4,1,1,1,1,1,1,1,1,1,0
django/django,django__django-14915,4.1,1,3,1,8,1,125,bug,13,0,2,1,1,1,1,1,1,1,1,0,0
django/django,django__django-14997,4.1,1,6,2,61,3,395,bug,12,0,4,0,0,1,0,0,0,0,0,0,0
django/django,django__django-14999,4.1,1,11,1,22,1,41,bug,12,0,0,1,1,1,1,0,0,0,0,1,0
django/django,django__django-15061,4.1,1,4,3,27,3,56,enhancement,6,0,4,1,1,1,0,0,1,0,0,0,0
django/django,django__django-15202,4.1,1,13,1,4,2,58,bug,12,0,0,0,0,0,0,0,0,0,0,0,0
django/django,django__django-15213,4.1,1,9,1,20,3,67,bug,12,0,2,1,1,1,1,1,1,0,0,0,0
django/django,django__django-15252,4.1,1,8,2,43,2,243,bug,13,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-15320,4.1,1,3,1,9,1,111,bug,8,0,2,1,0,1,0,0,0,0,0,0,0
django/django,django__django-15347,4.1,1,2,1,33,1,191,bug,8,0,0,1,1,1,1,1,1,1,0,1,1
django/django,django__django-15388,4.1,1,2,1,13,1,133,bug,13,0,2,0,0,1,0,0,0,0,0,0,0
django/django,django__django-15400,4.1,1,6,1,11,2,102,enhancement,0,4,2,1,1,1,1,1,0,0,0,0,0
django/django,django__django-15498,4.1,1,4,1,3,1,46,bug,5,0,0,1,1,0,1,0,1,0,0,0,0
django/django,django__django-15695,4.1,1,3,1,5,1,94,bug,6,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-15738,4.2,1,5,1,50,2,258,bug,13,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-15781,4.2,1,2,1,9,1,137,enhancement,6,4,2,1,1,1,0,0,1,0,0,0,0
django/django,django__django-15789,4.2,1,6,1,11,1,86,enhancement,6,0,2,1,1,1,1,1,1,1,1,0,1
django/django,django__django-15790,4.2,1,8,1,13,1,47,bug,1,-1,2,1,1,1,1,0,1,1,1,0,0
django/django,django__django-15814,4.2,1,1,1,6,1,199,bug,9,0,2,1,1,1,1,1,0,0,0,0,0
django/django,django__django-15819,4.2,1,12,2,10,1,69,bug,13,0,4,0,0,0,0,0,0,0,0,0,0
django/django,django__django-15851,4.2,1,2,1,2,1,97,bug,7,0,0,1,1,1,1,1,1,1,0,1,1
django/django,django__django-15902,4.2,1,2,1,11,1,64,question,7,0,2,1,1,1,1,1,1,0,0,0,0
django/django,django__django-15996,4.2,1,17,1,8,1,96,enhancement,0,0,2,0,0,0,0,0,0,0,0,0,0
django/django,django__django-16041,4.2,1,15,1,4,2,155,bug,6,0,-1,1,1,1,1,1,0,1,1,0,0
django/django,django__django-16046,4.2,1,2,1,4,1,53,bug,1,0,2,1,0,1,1,1,1,0,0,1,1
django/django,django__django-16139,4.2,1,4,1,22,1,175,bug,6,0,0,1,1,1,1,1,1,1,1,1,1
django/django,django__django-16229,4.2,1,10,1,40,1,145,bug,0,0,2,0,0,0,1,0,0,0,0,0,0
django/django,django__django-16255,4.2,1,2,2,29,1,143,bug,14,0,4,1,1,1,1,1,1,1,1,1,0
django/django,django__django-16379,4.2,1,5,1,6,2,134,bug,12,0,0,1,1,1,1,1,1,1,0,1,1
django/django,django__django-16400,4.2,1,15,1,19,1,289,enhancement,6,0,2,0,1,1,1,1,1,0,0,0,0
django/django,django__django-16408,5.0,1,9,1,20,2,57,bug,0,0,2,1,1,1,0,0,0,0,0,0,0
django/django,django__django-16527,5.0,1,2,1,35,1,61,enhancement,12,0,2,1,1,1,1,1,1,1,1,1,1
django/django,django__django-16595,5.0,1,6,1,18,1,142,enhancement,4,0,2,1,1,1,1,1,1,1,1,1,1
django/django,django__django-16816,5.0,1,7,1,24,2,433,bug,6,0,1,0,0,0,0,0,0,0,0,0,0
django/django,django__django-16820,5.0,1,65,2,321,7,48,bug,13,0,3,0,0,0,0,0,0,0,0,0,0
django/django,django__django-16873,5.0,1,5,1,18,2,215,bug,4,0,2,1,1,1,1,1,1,1,1,1,0
django/django,django__django-16910,5.0,1,8,2,35,2,131,bug,0,0,4,1,0,0,0,0,0,0,0,0,0
django/django,django__django-17051,5.0,1,7,1,37,5,166,enhancement,6,0,2,1,1,1,1,1,0,1,0,0,0
django/django,django__django-17087,5.0,1,2,1,13,1,100,question,0,0,2,1,0,1,1,1,1,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-18869,3.3,1,67,1,10,4,275,enhancement,1,4,3,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-22711,3.5,1,24,1,13,2,371,bug,8,2,2,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-22835,3.5,1,19,1,163,1,220,bug,6,2,2,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23299,3.5,1,5,1,7,1,198,bug,11,2,2,0,0,0,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23314,3.5,1,2,2,14,1,124,bug,11,2,4,1,1,1,0,1,0,1,1,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23476,3.5,1,3,1,9,1,352,bug,11,2,2,0,0,1,0,0,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23562,3.5,1,10,1,22,2,147,bug,6,2,2,0,1,0,1,1,0,1,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23563,3.5,1,1,1,7,1,395,bug,5,2,2,0,0,0,1,1,0,0,0,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23913,3.6,1,8,1,8,2,108,enhancement,6,2,2,1,0,1,1,1,1,1,1,0,0
matplotlib/matplotlib,matplotlib__matplotlib-23964,3.6,1,5,1,9,1,365,bug,11,2,0,1,1,1,1,1,1,1,1,0,1
matplotlib/matplotlib,matplotlib__matplotlib-23987,3.6,1,5,1,11,1,142,bug,11,2,2,1,1,0,0,1,0,0,0,0,0
